time,domain,noError,totalCount,aCount,cnameCount,mxCount,txtCount,clientipCount,subdomainCount,
20230604,haechi.top,1,13,2,5,5,0,6,4,
20230605,haechi.top,0,3,0,0,3,0,1,1,
20230606,haechi.top,1,30,3,3,21,0,15,3,
20230607,haechi.top,1,24,9,0,2,0,13,2,
20230608,haechi.top,1,17,1,2,13,0,8,2,
20230609,haechi.top,1,14,1,4,9,0,9,2,
20230610,haechi.top,0,5,0,0,5,0,1,1,
20230601,huadiled.com.cn,1,36,19,1,2,0,15,13,
20230602,huadiled.com.cn,1,18,13,0,0,0,5,3,
20230603,huadiled.com.cn,1,34,11,8,5,0,26,17,
20230604,huadiled.com.cn,1,4,3,0,0,0,3,2,
20230605,huadiled.com.cn,1,6,5,0,0,0,3,3,
20230606,huadiled.com.cn,1,3,3,0,0,0,2,2,
20230607,huadiled.com.cn,1,8,6,0,0,0,4,3,
20230608,huadiled.com.cn,1,36,15,10,2,0,22,15,
20230609,huadiled.com.cn,1,15,8,0,0,0,6,4,
20230610,huadiled.com.cn,1,8,7,0,0,0,6,3,
20230601,shssj.net,1,4,4,0,0,0,4,2,
20230602,shssj.net,1,6,3,1,0,0,3,2,
20230603,shssj.net,1,1,1,0,0,0,1,1,
20230604,shssj.net,1,5,3,0,1,0,4,2,
20230605,shssj.net,1,10,7,0,0,0,5,2,
20230606,shssj.net,1,39,12,0,1,0,9,2,
20230607,shssj.net,1,14,5,0,0,0,4,2,
20230608,shssj.net,1,17,7,1,0,0,6,3,
20230609,shssj.net,1,10,2,0,0,0,1,2,
20230610,shssj.net,1,12,3,0,0,0,2,2,
20230601,zgbaohong.com,1,50,30,0,0,0,11,2,
20230602,zgbaohong.com,1,65,31,0,0,0,20,2,
20230603,zgbaohong.com,1,15,9,0,0,0,11,2,
20230604,zgbaohong.com,1,14,8,0,0,0,10,2,
20230605,zgbaohong.com,1,20,10,0,0,0,11,2,
20230606,zgbaohong.com,1,65,57,1,0,0,49,2,
20230607,zgbaohong.com,1,17,9,0,0,0,10,2,
20230608,zgbaohong.com,1,31,23,0,0,0,19,2,
20230609,zgbaohong.com,1,42,30,0,0,0,13,3,
20230610,zgbaohong.com,1,30,18,0,0,0,16,2,
20230601,wangqing15.top,1,5,4,0,0,0,2,2,
20230602,wangqing15.top,0,0,0,0,0,0,0,0,
20230603,wangqing15.top,0,0,0,0,0,0,0,0,
20230604,wangqing15.top,1,2,2,0,0,0,1,1,
20230605,wangqing15.top,0,0,0,0,0,0,0,0,
20230606,wangqing15.top,0,0,0,0,0,0,0,0,
20230607,wangqing15.top,1,37,19,0,0,0,7,1,
20230608,wangqing15.top,0,0,0,0,0,0,0,0,
20230609,wangqing15.top,1,2,1,0,0,0,1,1,
20230610,wangqing15.top,1,1,0,0,0,0,1,1,
20230601,hxinyun.cn,1,27,13,0,3,0,16,3,
20230602,hxinyun.cn,1,2,1,0,1,0,2,2,
20230603,hxinyun.cn,1,709,2,0,706,0,469,2,
20230604,hxinyun.cn,1,1300,1,0,1299,0,803,2,
20230605,hxinyun.cn,1,1103,18,0,1083,0,729,5,
20230606,hxinyun.cn,1,2930,2,0,2928,0,1854,3,
20230607,hxinyun.cn,1,2326,967,0,1359,0,1078,3,
20230608,hxinyun.cn,1,2699,1379,0,1320,0,1176,3,
20230609,hxinyun.cn,1,2882,1432,0,1450,0,1256,3,
20230610,hxinyun.cn,1,2080,1036,0,1044,0,933,3,
20230601,jindouzi123.com,1,40,25,2,0,0,18,18,
20230602,jindouzi123.com,1,39,21,1,8,0,17,16,
20230603,jindouzi123.com,1,17,8,0,0,0,11,9,
20230604,jindouzi123.com,1,11,5,0,0,0,7,7,
20230605,jindouzi123.com,1,12,10,0,0,0,10,6,
20230606,jindouzi123.com,1,22,7,5,0,0,16,12,
20230607,jindouzi123.com,1,12,7,0,1,0,8,9,
20230608,jindouzi123.com,1,12,7,4,0,0,6,5,
20230609,jindouzi123.com,1,7,4,3,0,0,6,5,
20230610,jindouzi123.com,1,7,3,1,0,0,6,5,
20230601,szgasx.cn,1,13,11,0,2,0,4,3,
20230602,szgasx.cn,1,4,1,0,0,0,1,1,
20230603,szgasx.cn,1,10,7,1,0,0,7,3,
20230604,szgasx.cn,0,0,0,0,0,0,0,0,
20230605,szgasx.cn,1,1,1,0,0,0,1,1,
20230606,szgasx.cn,1,3,3,0,0,0,2,1,
20230607,szgasx.cn,1,3,3,0,0,0,3,2,
20230608,szgasx.cn,1,28,18,10,0,0,22,3,
20230609,szgasx.cn,1,3,2,0,0,0,3,2,
20230610,szgasx.cn,1,5,2,0,0,0,2,2,
20230601,reg30.cn,1,6,6,0,0,0,1,2,
20230602,reg30.cn,1,1,1,0,0,0,1,1,
20230603,reg30.cn,0,0,0,0,0,0,0,0,
20230604,reg30.cn,0,0,0,0,0,0,0,0,
20230605,reg30.cn,0,0,0,0,0,0,0,0,
20230606,reg30.cn,0,0,0,0,0,0,0,0,
20230607,reg30.cn,0,0,0,0,0,0,0,0,
20230608,reg30.cn,1,3,2,0,0,0,2,1,
20230609,reg30.cn,0,0,0,0,0,0,0,0,
20230610,reg30.cn,0,0,0,0,0,0,0,0,
20230601,yunhehd.com,1,21,21,0,0,0,8,7,
20230602,yunhehd.com,1,8,6,0,0,0,5,4,
20230603,yunhehd.com,1,2,1,0,1,0,2,2,
20230604,yunhehd.com,1,2,1,0,0,0,1,1,
20230605,yunhehd.com,1,14,11,0,0,0,10,7,
20230606,yunhehd.com,1,11,4,0,0,0,3,2,
20230607,yunhehd.com,1,15,8,0,0,0,5,5,
20230608,yunhehd.com,1,50,24,1,0,0,37,24,
20230609,yunhehd.com,1,24,11,0,0,0,14,7,
20230610,yunhehd.com,1,11,3,0,0,0,4,4,
20230601,69nq.cn,1,6,4,0,1,0,4,4,
20230602,69nq.cn,1,3,1,0,1,0,2,2,
20230603,69nq.cn,1,3,1,1,0,0,2,2,
20230604,69nq.cn,1,20,14,0,0,0,1,10,
20230605,69nq.cn,0,0,0,0,0,0,0,0,
